scene_id,im_id,obj_id,score,R,t,time
1,16,18,1.0,0.7779956883279333 -0.5128897440985529 -0.3628592279957422 0.16156857726892201 0.7214589075531831 -0.6733443692134536 0.6071394434414894 0.4652323667917874 0.6441587856319823,-18.12810784862975 40.120996977436434 459.6330081181321,0.2
1,16,18,0.2050104990729064,0.5177189233393802 0.8475584692886942 -0.11666943710037792 -0.044269304570222934 -0.1096465535552783 -0.9929843211080015 -0.8544046729092616 0.5192516484619528 -0.019245271636499195,56.45590470301244 -55.986420033603245 829.3087157796447,0.2
1,16,18,0.0170151255545337,0.22010335183757904 0.014925554431805405 -0.9753623646290471 -0.3125229367576666 0.948257259671796 -0.056014136430903555 0.924058401027893 0.3171520097755012 0.21337917936184408,-69.76404464513408 112.87343604197747 946.8057327000348,0.2
1,17,18,1.0,0.6037996316702366 -0.7363967024913073 -0.3051981345860684 -0.2509899903495709 0.18776533995661754 -0.9496042343288589 0.756591058326233 0.6499723637747263 -0.07145555814550666,-28.980390097264312 25.033285268893046 717.9554628562602,0.2
1,17,18,0.0994388170916288,0.23982471886282364 -0.0922233698148493 0.9664258659009296 -0.22497962518766373 -0.973657534145575 -0.03708334467084788 0.9443877765371523 -0.2085326263718752 -0.25425552356962033,-63.53923815016448 -78.5036860373533 619.0568058324588,0.2
1,17,18,0.0824771586668382,0.801430319421026 0.32536797976213994 0.5018417288929009 -0.07555428663371969 0.8874313318347166 -0.45470559821639656 -0.5932967157198681 0.3264985589915598 0.7357973213409065,-78.09221565694996 61.73135125730628 618.9611051920483,0.2
1,19,18,1.0,0.0604956459419514 0.13213330678840118 -0.9893841852684063 0.28721207893043627 0.9469763635201369 0.14403120721091717 0.9559547575793129 -0.2928763496278584 0.01933766506426103,1.9284075472098756 51.873031122363116 678.2177213366128,0.2
1,19,18,0.993477958518159,0.7093030411569512 -0.5840750692866827 -0.39464605565399613 0.10204269456420065 0.6390400277285191 -0.7623746660578452 0.6974786622482279 0.5004839222177775 0.5128736289866463,-2.189543271465915 9.413371568185127 536.6797760667636,0.2
1,19,18,0.3318100933819823,0.4171175075682594 0.908586665001921 -0.02198310853201252 -0.07373853111975898 0.009724347712332937 -0.9972301971409963 -0.9058562876683827 0.41758317643585313 0.0710540417527376,58.66388812013887 -51.65149393983268 759.9897982714656,0.2
1,19,18,0.0468833689421805,0.18128453966128244 -0.7834582282456496 -0.5944149394774529 0.41385725066703627 -0.48752518546253676 0.7687921498103638 -0.8921087891900394 -0.3853730635811312 0.23585908953435453,27.60153241588018 -121.03570213146898 832.2550281599003,0.2
1,19,18,0.0411049149086647,0.393178356492488 0.8787713827052169 -0.27050256361858727 0.8359336415269533 -0.21912016209725182 0.5031911182900208 0.3829173891968787 -0.4239660499389493 -0.8207478672222124,-89.45178895712571 0.05554827794671535 644.0984514978685,0.2
1,20,18,1.0,0.2802373645717274 -0.7387705513041621 -0.6129315557414524 0.9550004056141396 0.27919712809554964 0.10011587756208445 0.09716606802130967 -0.6134060940265769 0.7837676435247481,17.354010196100276 59.16895911905534 854.2928233619061,0.2
1,20,18,0.9859584401329464,0.8299406687378861 0.35543745861806514 -0.429956625005409 -0.536530801218215 0.29754496798616076 -0.7896845518118326 -0.15275203998327147 0.8860762975259219 0.43764781416534376,-16.51374495654959 26.66351732805953 1129.415051940067,0.2
1,20,18,0.5440806045340051,0.9785625796765076 0.0013767980967612017 -0.20594509482835321 -0.018350004645923186 0.9965833493118926 -0.080528909118309 0.20513058032958725 0.08258167049225286 0.9752444374167718,-84.57709466136271 -56.37993982867841 661.8225100857336,0.2
1,20,18,0.1561038516770256,0.8028335464974827 -0.09031900142798852 -0.5893223011216566 0.29468194804819525 -0.7991656061195611 0.5239245017080945 -0.5182864517935948 -0.594286809526011 -0.6149815785132106,84.18077569680403 -72.01532934449286 627.6062955184483,0.2
1,20,18,0.0475893332873936,0.163087536810602 -0.026427096590781185 -0.9862576052446096 -0.3948908991790357 0.914328899452102 -0.08979889404820396 0.9041369548263268 0.4041092329958441 0.1386798281109671,38.52697532219948 39.65215809116475 389.12533857991843,0.2
1,21,18,1.0,0.08095594793555405 -0.974513370852982 -0.20921239093948116 0.9609572866259922 0.02059217543127315 0.2759294395156455 -0.2645887899633438 -0.22338230086505537 0.9381327837177248,38.81480574418217 -8.655366508642963 1343.0116423701572,0.2
1,21,18,0.981552117415958,0.7112306816448148 -0.6717003314627822 -0.2072910567290355 0.4566672538321942 0.6656795097231563 -0.5901913330540361 0.5344211230522368 0.32509914648846194 0.7801952372246701,2.422801363298447 43.077322841988305 570.3930231994038,0.2
1,21,18,0.5548609241622011,0.23028618627593503 0.5662834458441968 -0.7913857032909479 -0.6320180721332422 0.7054123847727041 0.32085280722827847 0.7399469095195044 0.4262820971752269 0.520348099564537,113.82915502958463 -13.291416405831463 619.5745686573763,0.2
1,21,18,0.3842589655980153,-0.5383903424073903 -0.8411526105346668 -0.050971805865284714 -0.32438903220481297 0.26269521689050745 -0.9087150151769663 0.7777580568452364 -0.47270869339749244 -0.4142932490383564,-54.657216366911044 63.73629618103614 935.8980937101953,0.2
1,21,18,0.1258237891579232,0.9346357108554892 -0.08212963696260664 -0.3459925009679321 0.34349495545055697 0.4602754906758339 0.8186315949577929 0.09201795245317076 -0.8839690013883466 0.4584010264068082,-35.41313612084122 -106.15891247115945 779.6949843715445,0.2
1,21,18,0.1064752949408669,-0.121415395738524 -0.9609519509974092 0.24865568473680805 -0.397637414882984 -0.18244125971234704 -0.8992217040528714 0.909473907246841 -0.208054162728952 -0.35995927187436005,3.105713423557191 27.679539302366884 820.1835982551024,0.2
1,21,18,0.0946723847644144,0.46632707853296806 0.7904828557218634 0.397084261381278 0.20264372395705588 0.34148546093716614 -0.9177816739886171 -0.8610891806123939 0.5084530802132476 -0.0009424722473737324,130.15025198471562 167.8869213112238 1513.7888977730533,0.2
1,21,18,0.0474109233880453,-0.516738417655922 -0.029965219088487982 -0.8556187780568124 -0.46169461477927 0.8513685775762758 0.24901732429606116 0.7209850833424193 0.5237114002585079 -0.45376963190257386,0.45782226799262915 -12.337339696920711 676.4150374588279,0.2
1,21,18,0.0460944527492769,-0.21568178167093333 -0.5922075397017565 -0.7763836673807892 0.7074094828469153 0.4533088818101687 -0.5422940911076518 0.6730922616057263 -0.6661841243923535 0.3211627621223879,-84.36465487749817 185.51403431734335 1685.66533843058,0.2
1,22,18,1.0,-0.27514647208866794 0.825967323564967 -0.492008535800025 -0.8331989453851053 -0.46019036083733295 -0.30660128701874895 -0.4796602300653118 0.3255807306879969 0.8148148571904918,14.814099399557573 71.07636465010789 809.0540391773551,0.2
