scene_id,im_id,obj_id,score,R,t,time
1,451,5,1.0,-0.6370884426721609 -0.38989975054875836 -0.6649033769921586 0.7706893402970657 -0.3362144975895702 -0.5412926679376566 -0.012500278638262863 -0.8572852478216386 0.5146899522055552,-120.14947229127242 122.06551741566406 834.6513505101785,0.2
1,451,5,0.9980351734245236,0.7331544820719552 -0.49594622033319397 0.4653190861710081 0.6743776417479284 0.44191206064025945 -0.5915475694913997 0.08774566501147446 0.7474965399236967 0.6584448504421577,-118.37557955617157 -163.96528702329488 1606.8074230483078,0.2
1,451,5,0.9975468978993648,0.609063165979902 0.7737757115181081 -0.17410688702973115 0.27555972527561434 -0.41229493447110055 -0.8683776395183714 -0.7437129134636333 0.48091998843270833 -0.46433508059731765,186.75470539430148 16.82773677623756 1264.6104089422606,0.2
1,451,5,0.9970127015144112,-0.20793051123239026 0.6965439432194878 0.686725154383385 -0.5170382776480709 -0.6742385446463572 0.5273270373875006 0.8303230226516385 -0.24541581056934614 0.5003346459892996,-50.64694340284416 0.3949741273459715 729.4134353241434,0.2
1,451,5,0.9596211529066928,-0.07302834186212315 -0.8940233312479396 -0.44202844305452305 0.9318569132802023 0.0967732142871731 -0.34968219595573147 0.3554005549471788 -0.4374439714761945 0.8260346344811285,40.220084487127004 91.64546912237108 794.3931283012662,0.2
1,451,5,0.2823586956521739,-0.11997024584910743 0.7799693108024683 0.6142108874948632 -0.39906476437448957 -0.6043830441364538 0.6895422030558294 0.9090404028125693 -0.16238537547044057 0.38376625162680233,-8.60319723132869 -1.4996541028892096 633.7304571539242,0.2
1,451,5,0.051912677088422,-0.7694737328406253 0.29926336170437157 0.5642265633676887 -0.577783791693623 -0.7026410096045749 -0.4152848440263667 0.27216918364218634 -0.6455517422819507 0.7135733203478695,156.3169196771615 -111.78036889657756 1206.1900401388664,0.2
1,451,5,0.0103932736932095,-0.34778893803552824 0.507867908624229 0.7881072528341375 -0.8440546640976281 0.19635797279228318 -0.49901429892934435 -0.4081844908802388 -0.8387572556530026 0.360377146187551,-233.1960782167963 -147.39408494053038 1208.1129628352203,0.2
1,451,5,0.0102459773448949,0.33552715430055613 0.8066503592360112 -0.48655598513571313 0.3070464787657589 -0.5819367318016186 -0.7530418979430025 -0.8905863173238846 0.10327070312757985 -0.442934728002915,3.2308196161915177 -25.336445373246093 257.6141498243773,0.2
1,451,5,0.0098945178920371,-0.040722082755587974 0.2324518005067991 0.9717550475388301 -0.8905971170610683 -0.449347778228703 0.07016658238394036 0.4529663200046565 -0.8625849144531079 0.2253192807980784,-784.464968984275 -479.97426429389384 4120.313436406191,0.2
1,451,5,0.0093145762090864,-0.9099093464518961 0.12316691510682873 -0.39609959891743196 -0.39698229246257877 0.01834954242631337 0.9176428247220707 0.1202914822863149 0.9922163097408814 0.03219866415783479,-81.97373286884924 -2.6562928106088775 455.40276713489317,0.2
1,452,5,1.0,-0.6315926168561294 -0.4654105898309029 -0.6200675360040045 0.26567346555812177 -0.881276412122237 0.3908573846498167 -0.7283600593327203 0.08212714721825112 0.6802549196136898,62.28440480654149 18.804215000494104 690.700929524014,0.2
1,452,5,0.9989405347688576,-0.4064040268838569 -0.5459770794493992 -0.7326286887970533 0.8154149551497742 0.1450367758860454 -0.5604130481695373 0.41223078226968524 -0.8251505089112441 0.38625434598569613,-0.6130619192179818 26.676328717150007 506.2456025903471,0.2
1,452,5,0.9834684871314748,0.44940898830310605 0.8892498888436442 0.08524198744717881 -0.29457449894076165 0.05743267515664463 0.9539011229672344 0.8433607921916799 -0.4538018543548691 0.2877611008769331,-101.12702177507693 -12.393007017453325 586.9159242550319,0.2
1,452,5,0.9715994020926756,0.5714424638702511 -0.8102721325158192 -0.1300483823588863 0.5435939189636537 0.4924595629988876 -0.6796978961837978 0.6147838333525313 0.31771473066134504 0.7218713099778626,-1.7270200404552494 89.44281660152348 1053.9559256422021,0.2
1,452,5,0.8350684455531985,-0.440835973134773 0.6134745082293844 0.6552195605619786 -0.4152841989272913 -0.7865500353568136 0.4570318107107133 0.79574033384744 -0.0706262673012685 0.6015058199680645,-48.55695123528183 -24.290163135283883 419.85553813284645,0.2
1,452,5,0.4677621956843506,0.45840764304418075 -0.19224063962667384 -0.867701543893179 0.1385909591540723 0.9798441062904552 -0.14386825017568622 0.8778695682386042 -0.0543052837556982 0.4758108419495923,-6.395798775637498 21.707646955966954 465.7452484156317,0.2
1,452,5,0.4232134151429839,0.7084981178133498 0.360849911167078 0.6064798089513391 -0.6892604456664788 0.5383113897827911 0.4849132764420534 -0.15149407610394527 -0.7615826870674203 0.6301121770483255,28.871582234469834 -72.92396523345698 515.3809833427711,0.2
1,452,5,0.0552130044843049,0.01178577073635187 0.8486414106503634 -0.5288372639456411 -0.9758492152548127 -0.10560803583809189 -0.19122042739463427 -0.2181270379726376 0.5183191091362364 0.8269013825175902,-141.5582476875087 -37.201287432399425 1433.2592180201125,0.2
1,452,5,0.0150545568473125,-0.6679569841286911 0.2096296131718326 -0.714065047901892 -0.6993827804019775 0.15112298577849337 0.6985882690445012 0.2543564306851759 0.9660317119281442 0.0456676879015816,-3.611046333910145 -0.2018049635818231 -31.226833699710973,0.2
1,452,5,0.0115848204155192,0.7296065173461392 0.3654691563988413 -0.5780195719585597 -0.2850900379638009 -0.6057279285623878 -0.7428440932075299 -0.6216092020713946 0.7067715134897826 -0.337751428745351,8068740939289727.0 6775623785774769.0 4.018165524788178e+16,0.2
1,452,5,0.0110880931492469,-0.7598486599643502 0.44077839786238476 0.4778539713429727 -0.4696207557296314 0.13611640967995164 -0.8723122541864065 -0.44954016476652137 -0.887235440564515 0.10357081281895975,1355219343049539.0 859794960096219.4 7704734796790503.0,0.2
1,453,5,1.0,-0.5343024455576515 0.5894334276634461 -0.6058788088586974 -0.7681469971058157 -0.6377332887927917 0.05697756754063521 -0.3528046024479141 0.4958472413137446 0.7935139732689769,-9.247794435987508 -25.071704470145455 614.6301908380932,0.2
1,453,5,0.975827561807044,0.039119878513025674 0.9389953812608378 0.3416976866704543 0.7688901673525963 0.19011265890257456 -0.6104630107332382 -0.6381830032628748 0.2866092303046208 -0.7145471317209036,-68.62650267809266 2.782762925246157 360.72690642946054,0.2
1,453,5,0.965729530214142,-0.18903673772638258 0.8041394108916649 -0.5635822208343457 -0.5182740219718698 -0.5691853358133768 -0.6382946746167599 -0.834060639245654 0.17142888130597958 0.5243615057527696,-53.19940181082723 0.19360833306265235 772.5258977037552,0.2
1,453,5,0.4920856371760133,-0.3186296023675116 0.7998990490992229 0.5085633566678593 -0.9424352236838122 -0.3247623920594696 -0.07965700134862144 0.10144469259238936 -0.5046690994641639 0.8573319511081254,-44.9202028911735 46.001947818517806 737.3197133286783,0.2
1,453,5,0.0186116135676467,0.7124055139213512 -0.5278306915750027 -0.4624642091728932 -0.5743043156352784 -0.059784091517395 -0.8164560094972257 0.40330253752877576 0.8472429541948956 -0.3457259605380486,19.34514877598194 46.39848453753751 458.29233203511296,0.2
1,453,5,0.0145946049860314,-0.20129313221581147 0.9766008424163486 -0.07570911117181545 -0.5985777372369772 -0.061458520731642374 0.7987036638915206 0.7753617010189557 0.206091350670417 0.5969427005767264,-33.7219738762994 10.257100905183526 292.45768624087356,0.2
