scene_id,im_id,obj_id,score,R,t,time
5,7,1,1.0,0.22100974451046823 -0.046706660163929596 -0.974152544896203 -0.03999212954984733 0.9975784068092813 -0.05690300380405318 0.9744512929877438 0.05153455310941442 0.21860665001396265,-67.62316320316319 49.523679522772845 1135.2360296122743,0.2
5,7,1,0.0032958679521659,-0.16736879412245856 -0.45405234583561405 0.8751137948833684 -0.29828030326362176 0.8693555648221816 0.39401746483838485 -0.9396896016445836 -0.19508298017480133 -0.2809378639613432,-21.958256875295692 -88.63147203451126 749.495895007767,0.2
5,20,1,1.0,0.9901385814509582 -0.027259762789749845 -0.13741359050301677 0.02631944902575838 0.9996161099703947 -0.008655593026252663 0.13759678820839066 0.00495358660994003 0.9904759390588108,-72.31662130922122 -23.745845141348195 691.4231115987848,0.2
5,20,1,0.0048239603993378,0.9696146415328069 -0.1380432561942995 -0.20196907274254006 -0.08711524774153917 0.576633582224433 -0.8123451516824288 0.22860091980597258 0.8052563388575672 0.5470866916619067,14.009174814370384 7.123949420238177 680.5130971594216,0.2
5,20,1,0.0015202500073671,0.8111838243286666 0.1428830948547113 -0.5670672132580568 0.0954469003754378 0.9243396264758095 0.3694403120062592 0.5769494712331749 -0.35380881296443206 0.7361716046632466,20.137699449559463 -2.1839117334817755 662.2034131336983,0.2
5,25,1,1.0,0.9967153626482865 -0.019522470476590788 -0.07859617679878081 0.014469433834284944 0.9978221715027844 -0.0643548719366535 0.07968137389258434 0.06300624734070791 0.9948271666227414,-54.87654577015537 -42.21400541398405 608.0389327919248,0.2
5,31,1,1.0,0.971035674469177 0.13357028250242237 -0.1981128429466738 -0.15116442502722172 0.9855477573838065 -0.07645217146647391 0.1850379299343241 0.10418539987912288 0.9771931062679717,-32.86295242131696 -62.376447527340055 622.2171052703036,0.2
5,43,1,1.0,0.9990056358147616 0.021431026864223983 -0.03909540507385396 -0.02045229686107221 0.9994715543039178 0.02526491025943713 0.0396161982457983 -0.024440196907057555 0.9989160293096181,23.294273644661224 -61.86281900720673 650.1413175281751,0.2
5,56,1,1.0,0.9807152397728467 0.027863885668791027 0.19344565736331343 0.0029426579795163773 0.9875675688686048 -0.15716754653225698 -0.19541995609789575 0.1547058524891354 0.9684405712093573,63.17762125755526 -9.707819502668592 758.4636913149402,0.2
5,56,1,0.0012104823856321,0.9586415952603601 -0.060572851750071946 0.27809570558988445 -0.002350360389974864 0.9753726368600643 0.22055088997934774 -0.2846063380227312 -0.21208288213693466 0.9348904125413747,9.330249075028828 -35.208927551578164 604.2611078811922,0.2
5,64,1,1.0,0.9890055885900924 0.02664397083763682 0.1454580508447988 -0.026369146577636757 0.9996449845833606 -0.0038174475896654266 -0.14550812295652782 -6.0127663294955516e-05 0.9893570551314284,37.57273472400839 31.713062802657053 719.487265102576,0.2
5,70,1,1.0,0.9717683872963931 0.07097368781122597 0.22500874891844075 -0.13013059866278529 0.9567378925209012 0.2602280390471586 -0.19680505263593306 -0.2821619050352811 0.9389634873645666,4.125845106682192 42.65287826745785 648.5667557607729,0.2
5,81,1,1.0,0.9786923719219222 -0.07923717958579188 0.18942732250953384 0.08767649668975103 0.995477087192229 -0.03658142702912655 -0.1856719501434023 0.05241028760238013 0.9812130699717476,-41.435892336604546 6.6665758196903635 532.3863778366988,0.2
5,81,1,0.0010889247479429,-0.7556591726529076 0.37553471883977035 0.5366124204036444 0.36690288840401925 0.9213916867534923 -0.12813910434501063 -0.5425509056911717 0.1000551574257337 -0.8340428527397143,-135.55569363052035 -111.17608333237085 470.77709124301145,0.2
5,86,1,1.0,0.9659686457118163 0.15100756340172056 -0.21000307449452946 -0.15364698817184513 0.9881185478264571 0.0037866168349062826 0.2080797407904009 0.028608586767068074 0.9776933927544927,-54.592251302239575 -12.82072596408096 549.4464803114614,0.2
5,94,1,1.0,-0.9848547168200427 -0.00745115320486664 0.17322143941565404 -0.0795196953343467 0.9072130753232532 -0.4130872232549167 -0.15407077857675083 -0.4206054163684086 -0.8940655898256634,-75.59758008177593 -45.95196665704224 722.8830130618705,0.2
5,94,1,0.001423627494311,0.9379034965510809 0.22489232312343715 0.26412208191932796 -0.3237097443947576 0.8410887644698674 0.43333784933517255 -0.12469575991643568 -0.49192797570650065 0.8616599295407482,12.463207331912734 -6.625480684453045 468.22137867183017,0.2
5,100,1,1.0,-0.9745781613926238 -0.021303609511434576 0.22303265132791084 -0.16037376549250054 0.7614715849376752 -0.6280456039765432 -0.15645338819702687 -0.6478481161154124 -0.7455301172772175,-46.286606138169255 -55.59216285882653 595.1664952492868,0.2
5,100,1,0.011264691208279,0.9924040675878709 -0.001785605043412207 -0.12300804140249375 0.1228004390235232 0.07422660582742552 0.989651687798778 0.007363342357831641 -0.9972398019543589 0.07388205862963228,-35.11200570016764 -20.929312235540234 289.35907341854505,0.2
5,100,1,0.0027325743093563,0.32548094028401137 0.01710758394298815 -0.9453938269755466 0.08207765129342934 0.9955511392471984 0.0462729759336889 0.9419795203028516 -0.09265667658209606 0.3226287705936512,1374.163739356374 -1102.960310763447 4300.7329634552125,0.2
5,107,1,1.0,0.9986659261685196 -0.0505694942050456 -0.010444815260157142 0.0516312738711603 0.980898044849962 0.18754529364386416 0.0007612282274002246 -0.1878343734926274 0.9822004218418041,-11.269468820692758 -63.22673009355189 469.74800257524083,0.2
5,117,1,1.0,0.9985586839118819 -0.04986291266805462 -0.019855596803632296 0.0502145139836596 0.9985829912674219 0.017621354567479264 0.018948809185679955 -0.018592995768996624 0.9996475594622231,23.343479636005057 -59.28771829691403 528.882412853533,0.2
5,117,1,0.0061332288485418,-0.1812594662648614 0.2773069297577544 -0.943528416423006 0.13661656243265494 0.9572185587881725 0.25508536920132874 0.9738998515034603 -0.08266497093582967 -0.2113896445470221,4.083940709337396 -79.38999224074051 588.8351519375288,0.2
5,117,1,0.001820053660689,-0.9414533151211544 -0.022318148283117234 -0.3364038580406012 -0.3024959232790865 0.4965077265879374 0.8136192560639223 0.14886863956831609 0.8677453415004256 -0.47418999405026296,624.4129011782619 -503.56570305554806 1980.4706927921898,0.2
5,127,1,1.0,0.9923717510127081 -0.0842947970922748 0.08995940737434771 0.07421258261679911 0.9911488928079841 0.11007436062431548 -0.0984418629106357 -0.10255856604242918 0.989843896863543,44.87101914986563 -29.329987620799628 546.7499628276987,0.2
5,138,1,1.0,0.9986317728000708 0.050373179485410244 0.014040126164623183 -0.04767366710074496 0.9873191114695256 -0.15142058510055303 -0.021489621200831796 0.15054406303656456 0.9883697087957966,29.28793944163737 9.790109446463418 686.151952987822,0.2
5,149,1,1.0,-0.966344770011135 -0.0608681783190415 0.2499456947823827 -0.19722051956901565 0.7991279603667902 -0.5678895752000925 -0.1651721893451018 -0.5980715407274746 -0.7842375788234139,-22.72371636583433 3.838943424211474 463.99447665708664,0.2
5,171,1,1.0,-0.993551745443135 0.08601147510748867 0.07387120735938991 0.03827957302056505 0.8677559349836634 -0.4955141890904767 -0.10672208495088238 -0.48949122918645166 -0.8654529063636413,-50.247993629390606 -76.69701545432667 683.4018637889318,0.2
5,171,1,0.0038863670477494,-0.9601944980687838 -0.10046279463152423 0.2606410419969592 -0.07675897974759378 0.992061717271421 0.09960726957700776 -0.26857882438223785 0.07563581175146065 -0.960283624287196,4.504247475296117 -4.648902787507071 809.300974008392,0.2
5,188,1,1.0,0.9455579061122619 0.07486967630781562 0.31672508230034124 -0.08730856042163763 0.9958614082956416 0.025244222002719707 -0.31352425977218457 -0.05152268468339223 0.9481813916637045,20.36803263990845 -59.15521075325309 453.11039714741355,0.2
5,188,1,0.0093016247735336,0.8994106548921205 -0.4288596138894213 -0.08449796116559968 0.02727137618416295 0.24799287058242722 -0.9683779263187019 0.4362530755278965 0.8686650492076354 0.23474302199969105,-26.300810965644477 0.1200173748752178 937.6490956127457,0.2
5,188,1,0.008463099595152,0.9460854116298001 0.1293070077284739 0.29698836955944946 -0.07339031693065712 0.9785917550599764 -0.19228114392590032 -0.31549366916324867 0.16011831463309714 0.9353212656819939,29.03465874318929 -83.8908379526564 629.6937588403964,0.2
5,195,1,1.0,-0.8589191550497853 -0.1383304775911012 0.4930746029334515 -0.49149248127571676 0.49312401209929446 -0.7178188138663786 -0.14385070711679607 -0.8588907891347499 -0.49154204947439095,40.48121210414253 -53.09206379796208 590.0672431039204,0.2
5,195,1,0.0387692008247414,0.9165382729743394 -0.3965073041012919 0.052340729528167235 0.39726408261296936 0.9176932929140631 -0.00450208909501372 -0.04624762522434041 0.024919428863221394 0.9986191362207315,-26.951651667300997 -20.1720481146762 645.9468627404816,0.2
5,195,1,0.0038410455627753,0.7830657468580902 -0.013869857635714647 0.6217842577186612 -0.05672840763653862 0.9939909674710765 0.09361540660028105 -0.6193463682501126 -0.10857984912071965 0.7775734643751147,-28.364650625440582 -15.217442726682524 710.8882681637888,0.2
5,208,1,1.0,-0.9642056956059807 -0.07399398853099645 -0.2546218101857377 0.15449417333726126 0.6236581158420794 -0.7662780859121214 0.21549693029327208 -0.778187280932799 -0.5899030673158039,36.34797329279533 -3.5488727163577654 632.0330229238268,0.2
5,215,1,1.0,-0.991332268289733 -0.10407376079173639 -0.08018095885057314 -0.058185410787880386 0.8949830542865435 -0.44228926113051265 0.11779130621136044 -0.43379025444861435 -0.8932811558106596,3.167400294845908 0.6582581897007382 596.0000710995902,0.2
5,215,1,0.0011647431359463,0.9938061000195851 -0.0380945565026794 0.10439463745196138 0.05087773014363736 0.9911433149485434 -0.12266371023348281 -0.09879722738667064 0.12721530567379377 0.9869424369551801,0.6245822450063665 -13.690545220668776 741.8029450479611,0.2
5,221,1,1.0,-0.9987478000941539 -0.048587143719174684 -0.011921462674537179 -0.032135734099766895 0.8056968885610021 -0.5914556774239217 0.038342227386488625 -0.5903319517257501 -0.8062493785242315,-26.06398254985199 -19.13707487565387 639.3473221932858,0.2
5,239,1,1.0,-0.9798374185530457 -0.14609252936852 -0.13629235512680682 -0.07774140413652783 0.9071762995610316 -0.41350627032444626 0.18405137132383598 -0.39457335740957106 -0.9002427219013516,-59.96180434377968 -78.89515099143422 698.8920286906539,0.2
5,239,1,0.0175862631890395,0.9780142880429785 -0.17458295031991689 -0.11405632749382816 0.14908378687847845 0.9677693091900765 -0.20296942794355602 0.14581521482259102 0.18150305134447572 0.9725196992754883,-76.47224741801662 -36.90187636224359 630.4407062421845,0.2
5,239,1,0.0076412157660392,-0.979188620449035 -0.047441405521351246 -0.19732956855290204 -0.020796467331263436 0.9906316112066234 -0.13496858087980668 0.2018840076124294 -0.12805594058975917 -0.9710018143906923,-33.39865304217226 -30.626220182247437 504.5596406790561,0.2
5,247,1,1.0,-0.854160409316761 0.035179565186951985 0.5188182662060776 -0.027698410105212134 0.9932146967070974 -0.11294850296782229 -0.5192714061388966 -0.11084658063416154 -0.8473902538548856,-41.75698953268584 -93.64287846001392 669.2687466771496,0.2
5,247,1,0.018903483165667,0.9830545684877786 0.05131081110559513 -0.17598555633628934 -0.11061315179481773 0.931592068185281 -0.3462671644038565 0.14617949933326477 0.35986583494124125 0.921481489134057,-58.30865627428436 -55.58445157094016 554.9036389860803,0.2
5,247,1,0.0014331004049642,0.6977803473452746 0.11951524423085888 0.7062709772142319 -0.01960354457100294 0.988799506627579 -0.14795687457265821 -0.7160434958149964 0.08939598475040567 0.6923077856066221,-65.11834374807381 -77.001712122458 706.9101584459481,0.2
5,254,1,1.0,-0.9282271903811937 0.1232107504121712 0.35101765485500147 0.13124803039741526 0.9913491511840401 -0.0009027532792534425 -0.34809228310009177 0.04523241569442982 -0.9363684056057273,-5.350307896518691 -90.7096479344392 572.4527198704333,0.2
5,254,1,0.0177036076289646,0.79160827630503 -0.2528195324911446 -0.5562720745070154 0.262927701413654 0.9627309480329772 -0.06338884388326918 0.551566279530132 -0.09608020446733115 0.8285790448682636,-0.6929576836320799 -7.698738797302296 767.3846728631814,0.2
5,254,1,0.0132831283465999,-0.7700283245047289 0.11950447953799442 0.6267176867065368 0.4667560323034858 0.7752057893038569 0.42566981398507936 -0.4349657294187062 0.6203020744767325 -0.652709851795662,-8.612797849297085 -20.26401894077937 487.5178075997354,0.2
5,280,1,1.0,-0.9048306973245734 -0.2958629879165877 -0.3061805048663212 -0.17714866936424278 0.9155230908821792 -0.36115899407881147 0.3871689012841869 -0.2725482754350316 -0.8808051313632237,36.3409694327707 -29.95148974299364 553.5296954790973,0.2
5,290,1,1.0,-0.9986705361401625 -0.040277242634196166 -0.03216992339602791 -0.008755848284579239 0.7475570548015495 -0.6641398835616265 0.05079857642038449 -0.6629752586199725 -0.7469158661398504,-6.011186122918655 -36.45364866920596 507.56186442677546,0.2
5,290,1,0.0014785125312726,0.05196204568749382 -0.30351828477707204 -0.9514076921141404 0.21599235426399438 0.9335605274461133 -0.28602804843936513 0.9750114095268158 -0.1906341847636957 0.11406734367036503,-295.70769953022136 -242.24011477393216 942.7378363736419,0.2
5,290,1,0.0013271116838265,-0.8441986522208014 -0.07564331820225122 -0.530666301926112 -0.07077128026479836 0.9970550901871827 -0.029539347005498297 0.5313379917512617 0.012618856651172737 -0.8470659377985597,-249.5152052497753 -201.14624658550298 799.0665953880595,0.2
5,293,1,1.0,-0.9977546245750026 -0.033984673826941376 -0.05771265965169228 0.020022608561844672 0.670936259097027 -0.7412446501495079 0.06391247363054264 -0.7407358356214201 -0.6687492934879721,-22.757551157929534 -41.663996817097 656.7543385977015,0.2
5,293,1,0.0038861369940603,0.8226557004848978 0.31570178829795964 0.47283187215454553 0.05736776893025508 0.7813216956012363 -0.6214864013562758 -0.5656381683971363 0.5383946404342073 0.6246476395569376,9.497892794784597 -20.189343920476844 638.5627985817906,0.2
5,293,1,0.0032700108253223,-0.823979708657792 -0.39173209972751244 0.40939394446339145 -0.4085647297457796 0.9113728028544051 0.049744103420045316 -0.3925968687190185 -0.12627579443575218 -0.9110006160325257,-27.85921438653107 -52.9437602417071 607.1536451119464,0.2
5,306,1,1.0,-0.45062515160477734 0.7402843473507152 0.49891488032398595 0.040492517781268555 0.5752493142596175 -0.8169752642813451 -0.8917944431004856 -0.34794728266127584 -0.2891977865470778,-70.85738828100821 -65.36640661793766 642.8439437970051,0.2
5,306,1,0.0304641400208763,0.9921930671544803 -0.1246793286779675 -0.0028253302455477844 0.03508296897296442 0.25730549843184214 0.965693049454527 -0.11967498810790445 -0.9582530696413933 0.2596708527043809,14.021977948444324 -32.31846843887477 592.2422666481493,0.2
